Группа навыков,Навык,"Минимальные знания, применение для самых простых задач","Уверенные знания, применение для повседневных задач","Глубокие знания, применение знаний, внедрение на проекте, адаптация, обучение","Очень глубокие знания, применение для задач любой сложности"
,Организация работы,"• Получаю задачи от лида или более опытного коллеги на проекте
• Стараюсь приоритизировать свои задачи, но требую надзора чтобы выполнять задачи эффективно","• Могу следовать плану который составляет лид или опытный коллега на проекте
• Приоритизирую свои задачи самостоятельно
• Понимаю когда задачу стоит отложить в беклог и делаю это
• Могу проводить синки и временно взять планирование на себя на стабильном проекте","• Понимаю когда задачу стоит отложить в беклог и делаю это
• Могу проводить синки и временно взять планирование на себя на стабильном проекте","• Составляю план на проекте
• Использую оценки и анализ для приоритезации фич
• Организую и оптимизирую работу сотрудников на своем проекте
• Провожу ретро и отвечаю за выполнение решений"
,Стажировки AQA,Вырастил 1+ AQA в качестве ментора,Вырастил 3+ AQA в качестве ментора,Вырастил 5+ AQA в качестве ментора,Вырастил 8+ AQA в качестве ментора
,Работа по процессам студии,"• Следую процессам AQA установленным в студии
• Делюсь решениями своих проблем на синках, фиксирую их в документации",• Улучшаю процессы на проекте используя опыт прошлых проектов или решения текущих проектов,"• Фиксирую опыт и улучшения процессов в стратегии тестирования, учитываю потенциальные особенности и проблемы и способы их решения",
AQA. Инструменты и технологии,,,,,
,Flutter,"• Могу писать автотесты на этом фреймворке
• В случае ошибок в приложении требуется помощь, в том числе и по реализации (конкретный код, а не идея что сделать)","Хорошо разбираюсь в фреймворке
• Могу уверенно дебажить тесты
• Могу онбордить других AQA на этот фреймворк
• Помощь требуется редко и обычно концептуально - реализацию делаю сам
• Умею писать виджет и голден тесты
• Вместе с DevOps могу настроить однопоточный запуск тестов на CI/CD","Глубоко разбираюсь в фреймворке
• Хорошо разбираюсь в архитектуре приложения (Виджеты, VM, интеракторы и репозитории, работа с сетью через Dio, DI (например riverpod))
• Дебажу приложение и описываю баги с точки зрения логики кода и аргументирую (white box)
• Реализую новые подходы при покрытии тестами
• Умею мокировать логику приложения для тестов и аргументировать реализацию
• Вместе с DevOps могу настроить параллельный запуск тестов на CI/CD (ферму устройств)",
,Kaspresso,"• Могу писать автотесты на этом фреймворке
• В случае ошибок в приложении требуется помощь, в том числе и по реализации (конкретный код, а не идея что сделать)
• Умею писать клиент-серверные моки с использованием сабмодуля","Хорошо разбираюсь в фреймворке
• Могу уверенно дебажить тесты
• Могу онбордить других AQA на этот фреймворк
• Помощь требуется редко и обычно концептуально - реализацию делаю сам
• Умею передавать данные в Intent для запуска экрана
• Умею использовать DI в тестах
• Умею мокать Intent
• Умею работать с adb в тестах
• Вместе с DevOps могу настроить однопоточный запуск тестов на CI/CD","Глубоко разбираюсь в фреймворке
• Хорошо разбираюсь в архитектуре приложения (Activity, Fragment, Interactor, Repository, работа с БД и API итд)
• Дебажу приложение и описываю баги с точки зрения логики кода и аргументирую (white box)
• Реализую новые подходы при покрытии тестами
• Умею мокировать логику приложения для тестов и аргументировать реализацию
• Вместе с DevOps могу настроить параллельный запуск тестов на CI/CD (ферму устройств)
• Умею писать скриншот тесты с использованием фреймворка",
,XCUITest,"• Могу писать автотесты на этом фреймворке
• В случае ошибок в приложении требуется помощь, в том числе и по реализации (конкретный код, а не идея что сделать)
• Умею писать клиент-серверные моки с использованием сабмодуля
• Умею работать с тест-планами","Хорошо разбираюсь в фреймворке
• Могу уверенно дебажить тесты
• Могу онбордить других AQA на этот фреймворк
• Помощь требуется редко и обычно концептуально - реализацию делаю сам
• Умею работать с внешними элементами (вебвью, удалить прилку, алерты)
• Умею работать с диплинками
• Вместе с DevOps могу настроить однопоточный запуск тестов на CI/CD","Глубоко разбираюсь в фреймворке
• Хорошо разбираюсь в архитектуре приложения (View, ViewController, Presenter, API модели)
• Дебажу приложение и описываю баги с точки зрения логики кода и аргументирую (white box)
• Реализую новые подходы при покрытии тестами
• Умею мокировать логику приложения для тестов и аргументировать реализацию
• Вместе с DevOps могу настроить параллельный запуск тестов на CI/CD (ферму устройств)
• Умею писать скриншот тесты с использованием фреймворка",
,Appium,"• Могу писать автотесты на этом фреймворке
• В случае ошибок в приложении требуется помощь, в том числе и по реализации (конкретный код, а не идея что сделать)
• Умею писать клиент-серверные моки
• Умею проставлять ID одним из способов (layout.xml/Compose Android и UIKit/SwiftUI iOS)","Хорошо разбираюсь в фреймворке
• Могу уверенно дебажить тесты
• Могу онбордить других AQA на этот фреймворк
• Помощь требуется редко и обычно концептуально - реализацию делаю сам
• Умею работать с внешними элементами (вебвью, удалить прилку, алерты)
• Умею работать с диплинками
• Умею проставлять ID всеми способами
• Вместе с DevOps могу настроить однопоточный запуск тестов на CI/CD","Глубоко разбираюсь в фреймворке
• Хорошо разбираюсь в архитектуре приложений Android и iOS и могу дебажить приложение во время тестов
• Дебажу приложение и описываю баги с точки зрения логики кода и аргументирую (white box)
• Реализую новые подходы при покрытии тестами
• Умею мокировать логику приложения для тестов и аргументировать реализацию (например внедрить бекдор метод в тестовый вариант приложения чтобы была возможность протестировать фичу)
• Вместе с DevOps могу настроить параллельный запуск тестов на CI/CD (ферму устройств)
• Умею писать скриншот тесты с использованием фреймворка",
,Playwright,"• Могу писать автотесты на этом фреймворке
• В случае ошибок в приложении требуется помощь, в том числе и по реализации (конкретный код, а не идея что сделать)","Хорошо разбираюсь в фреймворке
• Могу уверенно дебажить тесты
• Могу онбордить других AQA на этот фреймворк
• Помощь требуется редко и обычно концептуально - реализацию делаю сам
• Умею мокать клиент-серверное соединение средствами фреймворка
• Вместе с DevOps могу настроить однопоточный запуск тестов на CI/CD
• Умею использовать фикстуры
• Умею эмулировать окружение (девайс, время, пермишены, гео итд)
• Умею настраивать ретраи для тестов
• Умею использовать UI режим для написания и отладки тестов","Глубоко разбираюсь в фреймворке
• Хорошо разбираюсь в архитектуре сайта
• Дебажу приложение и описываю баги с точки зрения логики кода и аргументирую (white box)
• Реализую новые подходы при покрытии тестами
• Умею мокировать логику приложения для тестов и аргументировать реализацию
• Умею писать параметризированные тесты и использую их (параметры, проекты и окружения)
• Вместе с DevOps могу настроить параллельный запуск тестов на CI/CD (ферму устройств)
• Умею писать скриншот тесты с использованием фреймворка",
,Экспертиза в фреймворке (поставь оценку по своему лучшему фреймворку из вариантов выше),1,2,3,
,Клиент-серверные моки,• Умею использовать моки клиент сервера в автотестах,"• Умею тестировать сложные кейсы (ошибки, таймауты, лоадеры, загрузки файлов итд)",• Умею мокать GraphQL,• Умею мокать вебсокеты
,Отчеты и интеграция с TMS,• Использую отчеты которые настроены на проекте,• Могу настроить механизм генерации отчетов на своем фреймворке и помочь реализовать его на CI/CD (задокументировать),• Умею настраивать интеграцию с TMS (например выгрузка в XRAY с созданием прогонов),
AQA. Алгоритм работы с фичами,,,,,
,Авторизация,"• Покрывал стандартную авторизацию по паролю
• Покрывал ОТП авторизацию с заранее известным кодом","• Покрывал повтор кода
• Покрывал ОТП авторизацию с помощью моков",• Покрывал биометрическую авторизацию с помощью моков,
,Геолокация,"• Выдавал пермишены програмно
• Покрывал алерты с пермишенами геолокации","• Мокал конкретную геолокацию
• Проверял автоподстановку основанную на геолокации",,
,Аналитика,• Покрывал аналитику (проверял факт отправки и содержимое),"• Оптимизировал сценарии для более оптимального покрытия аналитики
• Проверял граничные кейсы (точное количество отправляемых событий, отсутствие лишних событий, точная проверка действия которое отправляет событие)",• Использую разные уровни тестирования для более эффективного тестирования аналитики (например виджет или юнит тесты),
,Сервисы в реальном времени,• Покрывал чаты или сервисы с поллингом без вебсокетов,• Покрывал чаты или сервисы с поллингом с вебсокетами,,
,Видео/аудио стриминг,"• Покрывал интерфейс приложения связанный с стримингом, но без явных проверок стриминга","• Покрывал часть приложения отвечающую за воспроизведение - мокал содержимое, проверял воспроизведение, тестировал наличие звука итд",,
,Hardware,• Покрывал фичи связанные с камерой,• Покрывал фичи связанные с блютузом или сенсорами (гироскоп итд),,
,Локализация,"• Учитывал локализацию в тестах - настраивал эмулятор под конкретную или обходил ее ограничения, но не тестировал как фичу",• Тестировал локализацию небольшим количеством сценариев или с помощью хардкод строк,"• Тестировал локализацию через интеграцию с сервисом (т.е правильный перевод берется из сервиса как и в приложении)
• Тестировал больше двух дополнительных языков
• Использовал разные уровни тестирования для более эффективного тестирования (например виджет или юнит тесты)",
,Оплата,• Покрывал оплату через вебвью или с помощью моков,• Покрывал оплату Apple/Google pay и подобные через моки,,
,Диплинки,• Покрываю диплинки по аналогии или с помощью от разработчиков (например сделать метод для вызова диплинка в тестах),"• Покрываю диплинки самостоятельно, в том числе и внедряя механизм триггера диплинка",,
Особенности тестирования веб-приложений,,,,,
,Адаптивность страницы,"- Понимаю основные концепции адаптивного дизайна
- Знаю, как проверять веб-страницу на разных стандартных размерах экрана, таких как мобильные устройства, планшеты и десктопы
- Использую инструменты разработчика в браузере для имитации различных устройств
- Умею идентифицировать и документировать проблемы адаптивности, такие как нарушение компоновки или некорректное отображение элементов","- Разрабатываю и реализую стратегии тестирования адаптивности
- Адаптирую тестовые сценарии под специфические требования проекта для максимального охвата различных устройств и ориентаций
- Способен использовать и настраивать симуляторы и эмуляторы для более глубокого тестирования","- Обладаю глубоким пониманием технологий фронтенда и их взаимодействия с адаптивным дизайном, включая HTML, CSS и JavaScript
- Способен анализировать производительность адаптивных интерфейсов, учитывая различные аспекты пользовательского опыта
- Обучаю и наставляю других членов команды в области лучших практик тестирования адаптивности",
,Кроссбраузерность,"- Понимаю базовые принципы кроссбраузерного тестирования, включая необходимость проверки веб-приложений в различных браузерах
- Умею выполнять простые тесты на совместимость в популярных браузерах, используя стандартные инструменты и техники","- Понимаю различия в рендеринге и выполнении кода в разных браузерах
- Выполняю кроссбраузерное тестирование на проекте
- Внедряю лучшие практики и стандарты кроссбраузерного тестирования в проект","- Разрабатываю и адаптирую сложные тестовые стратегии
- Оцениваю риски совместимости",
,Гипертекст (HTML),"- Имею базовые знания о том, что такое гипертекст
- Умею распознавать основные теги и атрибуты, такие как `<a>`, `<div>`, `<span>`, `<img>`
- Могу выполнять простое тестирование веб-страниц, проверяя наличие и корректность отображения контента и ссылок в браузере","- Умею использовать инструменты разработчика браузера для диагностики проблем с отображением и взаимодействием элементов на странице
- Могу прочитать и подменить гиперссылку в нужном теге в HTML-документе","- Могу анализировать CSS-стилизацию
- Понимаю особенности реализации стилей в зависимости от выбранного фреймворка для реализации веб-приложений","- Глубоко понимаю взаимодействие HTML с другими технологиями веб-разработки, такими как JavaScript и CSS
- Могу решать задачи любой сложности, включая оптимизацию производительности веб-приложений и анализ сложных багов
- Разрабатывал(а) новые подходы и инструменты для тестирования"
,SPA/MPA,"- Понимаю различия между SPA и MPA
- Могу выполнять простые задачи по тестированию, такие как проверка навигации и элементарных взаимодействий в пределах страницы, используя стандартные инструменты разработчика браузера","- Знаком с особенностями асинхронных запросов, состояний приложения и клиент-серверного взаимодействия
- Умею применять методы для отладки кода и анализа производительности веб-приложений
- Могу самостоятельно планировать и проводить тестирование функциональности","- Умею адаптировать существующие методики под конкретные проекты
- Разрабатываю сценарии тестирования для сложных взаимодействий и бизнес-логики
- Внедряю новые технологии и подходы в процесс тестирования",
,CRUD,"- Знаю базовые определения и могу применять стандартные методы тестирования CRUD-операций
- Умею проверять функциональность создания, чтения, обновления и удаления данных на простейшем уровне, например, тестировать формы на веб-страницах и проверять отображение введённых данных
- Знаком с инструментами для мануального тестирования, такими как Postman для API","- Способен анализировать и оптимизировать процессы тестирования CRUD в рамках сложных многоуровневых систем
- Могу адаптировать стратегии тестирования под конкретные проектные и бизнес-требования, а также разрабатывать и внедрять политики и процедуры для повышения качества тестирования
- Обучаю коллег, улучшая навыки команды, и внедряю лучшие практики тестирования на проекте",,
,Уязвимости,"- Знаю основные типы уязвимостей веб-приложений, такие как XSS (Cross-Site Scripting) и SQL-инъекции
- Использую скрипты или инструменты для сканирования стандартных уязвимостей
- Следую базовым рекомендациям по безопасности при проверке веб-приложений","- Имею опыт использования инструментов для автоматического и ручного тестирования на уязвимости, таких как OWASP ZAP или Burp Suite.
- Понимаю и могу распознавать более широкий спектр уязвимостей, включая CSRF, Clickjacking и несанкционированный доступ к API.
- Умею составлять отчёты о найденных уязвимостях и рекомендовать базовые меры по их устранению.","- Глубоко понимаю причины возникновения уязвимостей и способы их эксплуатации, применяю этот опыт для создания защищенного кода
- Принимаю участие в процессах внедрения практик безопасности в проекты, адаптирую процессы тестирования под специфику конкретных веб-приложений
- Обучаю других сотрудников методам обнаружения и устранения уязвимостей","- Разрабатываю стратегии безопасности для комплексных и масштабных веб-систем, способен адаптировать и внедрять новейшие технологии и стандарты безопасности"
,Ролевая модель и разграничение прав доступа пользователей,"- Понимаю основные концепции ролевой модели и разграничения прав доступа
- Способен провести базовую проверку прав доступа для стандартных операций, например, убедиться, что только администраторы имеют доступ к административным панелям
- Знаю диаграмму пользовательских ролей и разницу между связями в модели","- Тестирую на проекте концепции ролей и прав доступа на проекте.
- Могу создать и адаптировать тестирование на основе диаграммы ролей",,
Технологии и инструменты веб-разработки,,,,,
,"Meta tags, SEO, etc","- Знаю meta content, meta viewport и зачем они нужны","- Знаю основные мета-теги (для favicon, шеринга и пр.) и знает семантические теги (https://html5css.ru/html/html5_semantic_elements.php )
- Знаю ограничения, особенности тестирования
- Применяю знания на проекте","- Знаю ARIA-теги, доступность для слабовидящих и прочие глубокие знания",
,Next.js,"- Понимаю базовую архитектуру и роутинг Next.js
- Понимаю, как разделяется код на серверный и клиентский
- Знаю ограничения, особенности тестирования","- Знаю разницу между SSR, CSR и SSG
- Знаю принципы кеширования, разницу между разработкой в дев-режиме и в билд-режиме
- Умею собирать локально
- Применяю знания на проекте","- Знаком(а) с глубокими внутренними механизмами Next.js
- Умею сниффать траффик от next-server до Backend",
,PWA,- Знаю принципы работы PWA,"- Знаю ограничения, особенности тестирования
- Применяю знания на проекте",- Адаптирую тестирования под особенности PWA,
,JWT,"- Знаю, что такое JWT","- Знаю ограничения, особенности тестирования
- Знаю как прочитать и поменять JWT
- Применяю знания на проекте",,
,Инструменты тестирования производительности Web,"- Знаю основы производительности веб-приложений, включая скорость загрузки страницы и время ответа сервера
- Способен установить и настроить простые инструменты для тестирования производительности, такие как Google PageSpeed Insights или WebPageTest, Lighthouse
- Умею проводить базовые тесты производительности и интерпретировать ключевые метрики, такие как время загрузки и размер страницы","- Способен создавать простейшие тестовые сценарии с использованием инструментов типа JMeter или Gatling
- Анализирую полученные данные и создаю отчёты с рекомендациями по оптимизации производительности","- Уверенно использую различные инструменты для тестирования производительности, такие как JMeter, LoadRunner, и Gatling
- Провожу нагрузочные тесты для оценки производительности веб-приложений в условиях реального трафика
- Автоматизирую тестирование производительности на основе CI/CD-пайплайнов","- Разрабатываю и внедряю стратегию тестирования производительности для крупных проектов
- Адаптирую существующие инструменты под специфические требования проекта
- Оптимизирую работу веб-приложений на основе результатов комплексного тестирования, включая нагрузочные, стрессовые тесты и тесты на устойчивость
- Обучаю и наставляю младших специалистов в области тестирования производительности"
,Кеширование в веб-разработке,"- Понимаю основные принципы работы кеша в браузерах, включая кеширование статических ресурсов и заголовки кеширования, такие как Cache-Control и Expires
- Провожу простые тесты для проверки обновления кеша при изменении контента, например, проверку обновления статических файлов после изменения версии.
- Способен выявлять простые проблемы с кешем, такие как загрузка устаревших данных из кеша.
- Использую DevTools для просмотра и очистки кеша в браузере","- Провожу тесты для проверки работы заголовков кеширования, таких как Cache-Control и ETag, и их влияния на производительность.
- Анализирую и проверяю поведение различных уровней кеширования, включая клиентское, серверное и CDN.
- Тестирую сценарии, связанные с кэшированием динамического контента и кешированием данных для аутентифицированных пользователей.
- Провожу нагрузочные тесты, чтобы определить, как кеширование влияет на производительность при высоких нагрузках.","- Разрабатываю комплексные тестовые сценарии для проверки кеширования в различных условиях, включая многоуровневые архитектуры с использованием CDN.
- Настраиваю автоматизированное тестирование для проверки корректности работы кеша при обновлении данных и деплое новых версий приложения.
- Анализирую и устраняю сложные баги, связанные с некорректным кешированием, включая проблемы, которые проявляются только в условиях реального трафика.
- Обучаю команду подходам к тестированию кеширования и интеграции тестов кеша в CI/CD.",
Использование AI,,,,,
,Использование AI для ручных QA,"- Понимание базовых концепций AI, ML и основных алгоритмов. Определение, в каких сценариях AI может быть полезен для тест-кейсов (например, предсказание багов).
- Умение взаимодействовать с AI-инструментами для выполнения простых задач и генерации тестовых данных. 
- Проверка и понимание результатов работы простых моделей AI на предмет адекватности и корректности.
- Умение составлять простые промты для взаимодействия с AI.","- Использование AI-инструментов для помощи в подборе граничных значений, парных комбинаций и эквивалентных классов.
- Использование AI для ревью тестовых сценариев, тест-кейсов для повышения качества и сокращения ошибок.
- Создание сложных и точных инструкций для эффективной работы с AI-моделями, учитывающих специфику QA.","- Использование AI для автоматизации повторяющихся задач QA (например, сортировка баг-репортов, предсказание зон риска).
- Использование AI для поиска скрытых дефектов и генерации сложных тестовых сценариев и данных, которые тяжело найти традиционными методами.","- Способность обучать и развивать навыки AI в QA-команде, делиться экспертизой.
- Внедрение подхода к работе с использованием ИИ-инструментов в отдел"
,Использование AI для AQA,"- Использование AI-ассистентов и чатов (ChatGPT, Grok, Cursor, Gemini, тп)  для написания автотестов
- Использование AI для автоматической генерации разнообразных тестовых данных (валидных и невалидных, в нужных форматах: моковые модели, json).
- Создание простых запросов AI для улучшения и ревью кода автотестов.","- Умение использовать AI для анализа результатов автотестов и выявления общих проблем (паттернов падений).
- Применение AI для генерации базовых проверок (assertions) в автотестах.
- Использование AI для ревью, выявления слабых мест и рефакторинга автотестов для улучшения их стабильности и читаемости.","- Создание сложных и точных промтов AI для генерации комплексных автотестов и улучшения архитектуры автоматизации.
- Использование AI для анализа и оптимизации покрытия автотестами, выявления зон риска и рекомендаций по улучшению покрытия.","- Cпособность обучать и развивать навыки AI в QA/AQA-команде, делиться экспертизой.
- Внедрение подхода к работе с использованием ИИ-инструментов в отдел"
